date,pm25,pm10,co,so2,no2,o3
2024-03-21,14.81,48.45,2070.0,9.1,6.48,31.8
2024-03-22,13.64,71.0,2520.0,9.1,14.04,18.0
2024-03-23,22.7,65.0,2250.0,9.1,6.48,12.0
2024-03-24,21.299999999999997,55.05,2115.0,9.1,5.94,9.0
2024-03-25,19.9,45.1,1980.0,9.1,5.4,6.0
2024-03-26,19.18,47.480000000000004,2160.0,9.24,5.832,6.48
2024-03-27,18.46,49.86,2340.0,9.38,6.264,6.96
2024-03-28,17.740000000000002,52.24,2520.0,9.52,6.696,7.44
2024-03-29,17.02,54.620000000000005,2700.0,9.66,7.128,7.92
2024-03-30,16.3,57.0,2880.0,9.8,7.56,8.4
2024-03-31,24.7,67.0,2340.0,9.1,8.64,22.8
2024-04-01,18.3,63.0,1980.0,9.1,10.8,12.0
2024-04-02,20.5,70.0,2340.0,9.1,11.88,11.4
2024-04-03,22.7,77.0,2700.0,9.1,12.96,10.8
2024-04-04,27.1,81.0,2160.0,9.8,8.64,21.6
2024-04-05,11.16,63.0,2340.0,9.8,8.64,13.2
2024-04-06,15.0,50.6,2430.0,9.8,8.1,6.6
2024-04-07,15.58,52.68,2592.0,9.8,8.208,7.4399999999999995
2024-04-08,16.16,54.76,2754.0,9.8,8.316,8.28
2024-04-09,16.74,56.84,2916.0,9.8,8.424,9.120000000000001
2024-04-10,17.32,58.92,3078.0,9.8,8.532,9.96
2024-04-11,17.9,61.0,3240.0,9.8,8.64,10.8
2024-04-12,19.099999999999998,57.166666666666664,3180.0,9.8,9.72,10.4
2024-04-13,20.3,53.333333333333336,3120.0,9.8,10.8,10.0
2024-04-14,21.5,49.5,3060.0,9.8,11.88,9.6
2024-04-15,29.1,60.25,2925.0,9.8,10.8,12.6
2024-04-16,36.7,71.0,2790.0,9.8,9.72,15.6
2024-04-17,43.3,79.0,2520.0,9.8,4.32,8.4
2024-04-18,51.7,89.0,2880.0,9.8,11.88,19.2
2024-04-19,26.7,77.0,2790.0,9.8,11.88,15.6
2024-04-20,21.52,66.73333333333333,2640.0,9.8,10.08,12.4
2024-04-21,16.34,56.46666666666667,2490.0,9.8,8.280000000000001,9.2
2024-04-22,11.16,46.2,2340.0,9.8,6.48,6.0
2024-04-23,11.676666666666668,53.800000000000004,2400.0,9.8,5.130000000000001,6.4
2024-04-24,12.193333333333333,61.4,2460.0,9.8,3.7800000000000002,6.8
2024-04-25,12.71,69.0,2520.0,9.8,2.4299999999999997,7.2
2024-04-26,15.9,57.0,2430.0,10.5,1.08,20.4
2024-04-27,15.65625,57.0,2490.0,10.5,1.8000000000000003,19.4
2024-04-28,15.4125,57.0,2550.0,10.5,2.5200000000000005,18.4
2024-04-29,15.16875,57.0,2610.0,10.5,3.24,17.4
2024-04-30,14.925,57.0,2670.0,10.5,3.9600000000000004,16.4
2024-05-01,14.68125,57.0,2730.0,10.5,4.680000000000001,15.4
2024-05-02,14.4375,57.0,2790.0,10.5,5.4,14.4
2024-05-03,14.19375,57.0,2610.0,10.15,6.120000000000001,19.8
2024-05-04,13.95,57.0,2430.0,9.8,6.840000000000001,25.2
2024-05-05,17.725,58.0,2520.0,9.8,7.5600000000000005,16.2
2024-05-06,21.5,59.0,2610.0,9.8,8.280000000000001,7.2
2024-05-07,26.7,54.25,1485.0,5.6000000000000005,9.0,10.2
2024-05-08,31.9,49.5,360.0,1.4,9.72,13.2
2024-05-09,21.84,53.25,810.0,1.4,15.66,14.399999999999999
2024-05-10,11.78,57.0,1260.0,1.4,21.6,15.6
2024-05-11,12.813333333333333,50.833333333333336,1140.0,1.4,19.8,15.6
2024-05-12,13.846666666666668,44.666666666666664,1020.0,1.4,18.0,15.6
2024-05-13,14.88,38.5,900.0,1.4,16.2,15.6
2024-05-14,12.4,36.85,720.0,1.75,12.96,14.399999999999999
2024-05-15,9.92,35.2,540.0,2.1,9.72,13.2
2024-05-16,10.54,37.766666666666666,690.0,2.1,14.760000000000002,13.6
2024-05-17,11.16,40.333333333333336,840.0,2.1,19.8,14.0
2024-05-18,11.78,42.9,990.0,2.1,24.84,14.4
2024-05-19,11.687999999999999,40.48,999.0,2.0300000000000002,22.788,13.08
2024-05-20,11.596,38.06,1008.0,1.96,20.736,11.76
2024-05-21,11.504,35.64,1017.0,1.8900000000000001,18.683999999999997,10.440000000000001
2024-05-22,11.412,33.22,1026.0,1.82,16.631999999999998,9.120000000000001
2024-05-23,11.32,30.8,1035.0,1.75,14.58,7.8
2024-05-24,8.14,30.8,877.5,1.925,11.61,9.3
2024-05-25,4.96,30.8,720.0,2.1,8.64,10.8
2024-05-26,10.873333333333333,42.86666666666667,660.0,2.1,7.920000000000001,10.4
2024-05-27,16.786666666666665,54.93333333333334,600.0,2.1,7.2,10.0
2024-05-28,22.7,67.0,540.0,2.1,6.48,9.6
2024-05-29,21.9,61.0,900.0,2.1,7.56,12.0
2024-05-30,20.7,65.0,810.0,1.4,10.8,10.2
2024-05-31,14.69,48.45,765.0,1.4,8.64,11.1
2024-06-01,8.68,31.9,720.0,1.4,6.48,12.0
2024-06-02,12.09,33.0,630.0,1.4,2.16,9.6
2024-06-03,15.893333333333333,38.86666666666667,690.0,1.4,2.8800000000000003,12.0
2024-06-04,19.696666666666665,44.733333333333334,750.0,1.4,3.6000000000000005,14.4
2024-06-05,23.5,50.6,810.0,1.4,4.32,16.8
2024-06-06,6.51,27.5,1080.0,2.1,4.32,12.0
2024-06-07,10.85,47.3,720.0,2.1,2.16,14.4
2024-06-08,15.19,33.0,810.0,1.4,1.08,10.8
2024-06-09,16.493333333333332,37.766666666666666,660.0,1.1666666666666665,4.68,10.0
2024-06-10,17.796666666666667,42.53333333333333,510.0,0.9333333333333333,8.280000000000001,9.200000000000001
2024-06-11,19.1,47.3,360.0,0.7,11.88,8.4
2024-06-12,20.5,48.95,495.0,0.7,14.04,12.0
2024-06-13,21.9,50.6,630.0,0.7,16.2,15.6
2024-06-14,21.98,50.82,630.0,0.7,14.904,14.16
2024-06-15,22.06,51.04,630.0,0.7,13.608,12.719999999999999
2024-06-16,22.14,51.260000000000005,630.0,0.7,12.312,11.28
2024-06-17,22.22,51.480000000000004,630.0,0.7,11.016,9.84
2024-06-18,22.3,51.7,630.0,0.7,9.72,8.4
2024-06-19,10.23,32.45,495.0,0.7,5.4,23.4
