date,pm25,pm10
2021-12-28,12.0,12.0
2021-12-29,12.0,24.0
2021-12-30,26.0,25.0
2021-12-31,29.0,28.0
2022-01-01,29.0,25.0
2022-01-02,26.0,29.0
2022-01-03,30.0,38.0
2022-01-04,41.0,28.0
2022-01-05,31.0,26.0
2022-01-06,29.0,27.333333333333332
2022-01-07,29.444444444444443,28.666666666666668
2022-01-08,29.88888888888889,30.0
2022-01-09,30.333333333333332,31.333333333333332
2022-01-10,30.77777777777778,32.666666666666664
2022-01-11,31.22222222222222,34.0
2022-01-12,31.666666666666668,35.33333333333333
2022-01-13,32.111111111111114,36.666666666666664
2022-01-14,32.55555555555556,38.0
2022-01-15,33.0,47.0
2022-01-16,39.0,35.0
2022-01-17,37.0,15.0
2022-01-18,15.0,11.0
2022-01-19,10.0,26.0
2022-01-20,24.0,28.0
2022-01-21,30.0,43.0
2022-01-22,35.0,38.0
2022-01-23,41.0,47.0
2022-01-24,47.0,39.666666666666664
2022-01-25,39.0,32.333333333333336
2022-01-26,31.0,25.0
2022-01-27,23.0,33.0
2022-01-28,32.0,21.0
2022-01-29,26.0,11.0
2022-01-30,10.0,8.0
2022-01-31,8.0,6.0
2022-02-01,5.0,6.0
2022-02-02,4.0,5.0
2022-02-03,4.0,3.0
2022-02-04,2.0,3.0
2022-02-05,2.0,14.0
2022-02-06,16.0,23.0
2022-02-07,29.0,26.0
2022-02-08,32.0,19.0
2022-02-09,24.0,16.0
2022-02-10,17.0,20.0
2022-02-11,22.0,17.0
2022-02-12,18.0,18.0
2022-02-13,18.0,7.0
2022-02-14,4.0,11.0
2022-02-15,9.0,17.0
2022-02-16,22.0,25.0
2022-02-17,31.0,21.0
2022-02-18,27.0,23.0
2022-02-19,26.0,5.0
2022-02-20,4.0,6.0
2022-02-21,5.0,6.0
2022-02-22,5.0,6.0
2022-02-23,4.0,10.0
2022-02-24,9.0,7.0
2022-02-25,6.0,13.0
2022-02-26,10.0,16.0
2022-02-27,18.0,24.0
2022-02-28,28.0,23.0
2022-03-01,19.0,17.0
2022-03-02,19.0,26.0
2022-03-03,22.0,26.0
2022-03-04,26.0,17.0
2022-03-05,18.0,21.0
2022-03-06,26.0,13.0
2022-03-07,14.0,29.0
2022-03-08,21.0,32.0
2022-03-09,23.0,27.0
2022-03-10,23.0,23.0
2022-03-11,20.5,19.0
2022-03-12,18.0,23.0
2022-03-13,24.0,26.0
2022-03-14,29.0,27.0
2022-03-15,30.0,28.0
2022-03-16,31.0,29.0
2022-03-17,32.0,37.0
2022-03-18,50.0,30.0
2022-03-19,43.0,29.0
2022-03-20,35.0,34.0
2022-03-21,42.0,23.0
2022-03-22,19.0,22.0
2022-03-23,20.0,19.0
2022-03-24,20.0,29.0
2022-03-25,30.0,35.0
2022-03-26,23.0,31.0
2022-03-27,21.0,21.0
2022-03-28,17.0,20.5
2022-03-29,20.5,20.0
2022-03-30,24.0,13.0
2022-03-31,14.0,6.0
2022-04-01,8.0,3.0
2022-04-02,2.0,6.0
2022-04-03,6.0,20.0
2022-04-04,17.0,21.166666666666668
2022-04-05,18.5,22.333333333333332
2022-04-06,20.0,23.5
2022-04-07,21.5,24.666666666666668
2022-04-08,23.0,25.833333333333336
2022-04-09,24.5,27.0
2022-04-10,26.0,25.0
2022-04-11,26.0,23.333333333333332
2022-04-12,23.88888888888889,21.666666666666668
2022-04-13,21.77777777777778,20.0
2022-04-14,19.666666666666664,18.333333333333332
2022-04-15,17.555555555555557,16.666666666666664
2022-04-16,15.444444444444445,15.0
2022-04-17,13.333333333333332,13.333333333333332
2022-04-18,11.222222222222221,11.666666666666666
2022-04-19,9.11111111111111,10.0
2022-04-20,7.0,16.0
2022-04-21,15.0,16.285714285714285
2022-04-22,14.857142857142858,16.571428571428573
2022-04-23,14.714285714285714,16.857142857142858
2022-04-24,14.571428571428571,17.142857142857142
2022-04-25,14.428571428571429,17.428571428571427
2022-04-26,14.285714285714286,17.714285714285715
2022-04-27,14.142857142857142,18.0
2022-04-28,14.0,19.0
2022-04-29,17.0,9.0
2022-04-30,8.0,9.0
2022-05-01,9.0,4.0
2022-05-02,2.0,6.0
2022-05-03,4.0,19.0
2022-05-04,21.0,29.0
2022-05-05,37.0,17.0
2022-05-06,22.0,15.0
2022-05-07,18.0,17.0
2022-05-08,21.0,22.0
2022-05-09,17.0,23.0
2022-05-10,21.0,28.0
2022-05-11,17.0,29.0
2022-05-12,20.0,25.0
