date,min,max,median,q1,q3,stdev,count
2024-03-21T00:00:00.000Z,1890,2250,2070,1890,2250,180.0,2
2024-03-22T00:00:00.000Z,2520,2520,2520,2520,2520,0.0,1
2024-03-23T00:00:00.000Z,2160,2790,2250,2160,2790,278.209,3
2024-03-25T00:00:00.000Z,1980,1980,1980,1980,1980,0.0,1
2024-03-30T00:00:00.000Z,2880,2880,2880,2880,2880,0.0,1
2024-03-31T00:00:00.000Z,2340,2340,2340,2340,2340,0.0,1
2024-04-01T00:00:00.000Z,1980,1980,1980,1980,1980,0.0,1
2024-04-03T00:00:00.000Z,2700,2700,2700,2700,2700,0.0,1
2024-04-04T00:00:00.000Z,2160,2160,2160,2160,2160,0.0,1
2024-04-05T00:00:00.000Z,2340,2340,2340,2340,2340,0.0,1
2024-04-06T00:00:00.000Z,2430,2430,2430,2430,2430,0.0,2
2024-04-11T00:00:00.000Z,3240,3240,3240,3240,3240,0.0,1
2024-04-14T00:00:00.000Z,3060,3060,3060,3060,3060,0.0,1
2024-04-16T00:00:00.000Z,2790,2790,2790,2790,2790,0.0,1
2024-04-17T00:00:00.000Z,2520,2520,2520,2520,2520,0.0,1
2024-04-18T00:00:00.000Z,2880,2880,2880,2880,2880,0.0,1
2024-04-19T00:00:00.000Z,2790,2790,2790,2790,2790,0.0,1
2024-04-22T00:00:00.000Z,2340,2340,2340,2340,2340,0.0,1
2024-04-25T00:00:00.000Z,2520,2520,2520,2520,2520,0.0,1
2024-04-26T00:00:00.000Z,2430,2430,2430,2430,2430,0.0,1
2024-05-02T00:00:00.000Z,2790,2790,2790,2790,2790,0.0,1
2024-05-04T00:00:00.000Z,2430,2430,2430,2430,2430,0.0,1
2024-05-06T00:00:00.000Z,2610,2610,2610,2610,2610,0.0,1
2024-05-08T00:00:00.000Z,360,360,360,360,360,0.0,1
2024-05-10T00:00:00.000Z,1260,1260,1260,1260,1260,0.0,1
2024-05-13T00:00:00.000Z,900,900,900,900,900,0.0,1
2024-05-15T00:00:00.000Z,360,990,540,360,990,264.953,3
2024-05-18T00:00:00.000Z,990,990,990,990,990,0.0,1
2024-05-23T00:00:00.000Z,720,1350,1035,720,1350,315.0,2
2024-05-25T00:00:00.000Z,720,720,720,720,720,0.0,1
