date,min,max,median,q1,q3,stdev,count
2024-03-21T00:00:00.000Z,3.24,9.72,6.48,3.24,9.72,3.24,2
2024-03-22T00:00:00.000Z,14.04,14.04,14.04,14.04,14.04,0.0,1
2024-03-23T00:00:00.000Z,6.48,9.72,6.48,6.48,9.72,1.527,3
2024-03-25T00:00:00.000Z,5.4,5.4,5.4,5.4,5.4,0.0,1
2024-03-30T00:00:00.000Z,7.56,7.56,7.56,7.56,7.56,0.0,1
2024-03-31T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,1
2024-04-01T00:00:00.000Z,10.8,10.8,10.8,10.8,10.8,0.0,1
2024-04-03T00:00:00.000Z,12.96,12.96,12.96,12.96,12.96,0.0,1
2024-04-04T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,1
2024-04-05T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,1
2024-04-06T00:00:00.000Z,7.56,8.64,8.1,7.56,8.64,0.54,2
2024-04-11T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,1
2024-04-14T00:00:00.000Z,11.88,11.88,11.88,11.88,11.88,0.0,1
2024-04-16T00:00:00.000Z,9.72,9.72,9.72,9.72,9.72,0.0,1
2024-04-17T00:00:00.000Z,4.32,4.32,4.32,4.32,4.32,0.0,1
2024-04-18T00:00:00.000Z,11.88,11.88,11.88,11.88,11.88,0.0,1
2024-04-19T00:00:00.000Z,11.88,11.88,11.88,11.88,11.88,0.0,1
2024-04-22T00:00:00.000Z,6.48,6.48,6.48,6.48,6.48,0.0,1
2024-04-26T00:00:00.000Z,1.08,1.08,1.08,1.08,1.08,0.0,1
2024-05-08T00:00:00.000Z,9.72,9.72,9.72,9.72,9.72,0.0,1
2024-05-10T00:00:00.000Z,21.6,21.6,21.6,21.6,21.6,0.0,1
2024-05-13T00:00:00.000Z,16.2,16.2,16.2,16.2,16.2,0.0,1
2024-05-15T00:00:00.000Z,8.64,10.8,9.72,8.64,10.8,0.882,3
2024-05-18T00:00:00.000Z,24.84,24.84,24.84,24.84,24.84,0.0,1
2024-05-23T00:00:00.000Z,10.8,18.36,14.58,10.8,18.36,3.78,2
2024-05-25T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,1
2024-05-28T00:00:00.000Z,6.48,6.48,6.48,6.48,6.48,0.0,1
2024-05-29T00:00:00.000Z,7.56,7.56,7.56,7.56,7.56,0.0,1
2024-05-30T00:00:00.000Z,7.56,14.04,10.8,7.56,14.04,3.24,2
2024-06-01T00:00:00.000Z,6.48,6.48,6.48,6.48,6.48,0.0,1
2024-06-02T00:00:00.000Z,2.16,2.16,2.16,2.16,2.16,0.0,1
2024-06-05T00:00:00.000Z,4.32,4.32,4.32,4.32,4.32,0.0,1
2024-06-06T00:00:00.000Z,4.32,4.32,4.32,4.32,4.32,0.0,1
2024-06-07T00:00:00.000Z,2.16,2.16,2.16,2.16,2.16,0.0,1
2024-06-08T00:00:00.000Z,1.08,1.08,1.08,1.08,1.08,0.0,1
2024-06-11T00:00:00.000Z,11.88,11.88,11.88,11.88,11.88,0.0,1
2024-06-13T00:00:00.000Z,16.2,16.2,16.2,16.2,16.2,0.0,1
2024-06-18T00:00:00.000Z,9.72,9.72,9.72,9.72,9.72,0.0,1
2024-06-19T00:00:00.000Z,2.16,8.64,5.4,2.16,8.64,3.24,2
2024-06-20T00:00:00.000Z,4.32,4.32,4.32,4.32,4.32,0.0,1
2024-06-24T00:00:00.000Z,7.56,7.56,7.56,7.56,7.56,0.0,2
2024-06-25T00:00:00.000Z,21.6,21.6,21.6,21.6,21.6,0.0,1
2024-06-29T00:00:00.000Z,8.64,10.8,9.72,8.64,10.8,1.08,2
2024-07-01T00:00:00.000Z,9.72,9.72,9.72,9.72,9.72,0.0,1
2024-07-05T00:00:00.000Z,6.48,22.68,14.58,6.48,22.68,8.1,2
2024-07-31T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,2
2024-08-01T00:00:00.000Z,12.96,12.96,12.96,12.96,12.96,0.0,1
2024-08-03T00:00:00.000Z,8.64,11.88,8.64,8.64,11.88,1.527,3
2024-08-04T00:00:00.000Z,3.24,3.24,3.24,3.24,3.24,0.0,1
2024-08-05T00:00:00.000Z,4.32,7.56,6.48,4.86,7.56,1.403,4
2024-08-06T00:00:00.000Z,28.08,28.08,28.08,28.08,28.08,0.0,1
2024-08-07T00:00:00.000Z,20.52,20.52,20.52,20.52,20.52,0.0,1
2024-08-09T00:00:00.000Z,9.72,9.72,9.72,9.72,9.72,0.0,1
2024-08-11T00:00:00.000Z,8.64,8.64,8.64,8.64,8.64,0.0,1
2024-08-12T00:00:00.000Z,9.72,9.72,9.72,9.72,9.72,0.0,1
2024-08-13T00:00:00.000Z,6.48,10.8,7.56,6.48,10.8,1.836,3
2024-08-16T00:00:00.000Z,5.4,5.4,5.4,5.4,5.4,0.0,1
2024-08-17T00:00:00.000Z,4.32,4.32,4.32,4.32,4.32,0.0,1
2024-09-06T00:00:00.000Z,4.32,27.0,11.88,8.64,18.36,5.978,15
2024-09-07T00:00:00.000Z,4.32,22.68,11.88,8.64,14.04,3.93,23
2024-09-08T00:00:00.000Z,3.24,19.44,10.8,6.48,16.73,5.131,21
2024-09-09T00:00:00.000Z,6.48,17.28,10.8,8.64,12.96,2.987,23
