date,min,max,median,q1,q3,stdev,count
2024-03-21T00:00:00.000Z,28.8,34.8,31.8,28.8,34.8,3.0,2.0
2024-03-22T00:00:00.000Z,18.0,18.0,18.0,18.0,18.0,0.0,1.0
2024-03-23T00:00:00.000Z,9.6,18.0,12.0,9.6,18.0,3.533,3.0
2024-03-25T00:00:00.000Z,6.0,6.0,6.0,6.0,6.0,0.0,1.0
2024-03-30T00:00:00.000Z,8.4,8.4,8.4,8.4,8.4,0.0,1.0
2024-03-31T00:00:00.000Z,22.8,22.8,22.8,22.8,22.8,0.0,1.0
2024-04-01T00:00:00.000Z,12.0,12.0,12.0,12.0,12.0,0.0,1.0
2024-04-03T00:00:00.000Z,10.8,10.8,10.8,10.8,10.8,0.0,1.0
2024-04-04T00:00:00.000Z,21.6,21.6,21.6,21.6,21.6,0.0,1.0
2024-04-05T00:00:00.000Z,13.2,13.2,13.2,13.2,13.2,0.0,1.0
2024-04-06T00:00:00.000Z,6.0,7.2,6.6,6.0,7.2,0.6,2.0
2024-04-11T00:00:00.000Z,10.8,10.8,10.8,10.8,10.8,0.0,1.0
2024-04-14T00:00:00.000Z,9.6,9.6,9.6,9.6,9.6,0.0,1.0
2024-04-16T00:00:00.000Z,15.6,15.6,15.6,15.6,15.6,0.0,1.0
2024-04-17T00:00:00.000Z,8.4,8.4,8.4,8.4,8.4,0.0,1.0
2024-04-18T00:00:00.000Z,19.2,19.2,19.2,19.2,19.2,0.0,1.0
2024-04-19T00:00:00.000Z,15.6,15.6,15.6,15.6,15.6,0.0,1.0
2024-04-22T00:00:00.000Z,6.0,6.0,6.0,6.0,6.0,0.0,1.0
2024-04-25T00:00:00.000Z,7.2,7.2,7.2,7.2,7.2,0.0,1.0
2024-04-26T00:00:00.000Z,20.4,20.4,20.4,20.4,20.4,0.0,1.0
2024-05-02T00:00:00.000Z,14.4,14.4,14.4,14.4,14.4,0.0,1.0
2024-05-04T00:00:00.000Z,25.2,25.2,25.2,25.2,25.2,0.0,1.0
2024-05-06T00:00:00.000Z,7.2,7.2,7.2,7.2,7.2,0.0,1.0
2024-05-08T00:00:00.000Z,13.2,13.2,13.2,13.2,13.2,0.0,1.0
2024-05-10T00:00:00.000Z,15.6,15.6,15.6,15.6,15.6,0.0,1.0
2024-05-13T00:00:00.000Z,15.6,15.6,15.6,15.6,15.6,0.0,1.0
2024-05-15T00:00:00.000Z,8.4,15.6,13.2,8.4,15.6,2.993,3.0
2024-05-18T00:00:00.000Z,14.4,14.4,14.4,14.4,14.4,0.0,1.0
2024-05-23T00:00:00.000Z,7.2,8.4,7.8,7.2,8.4,0.6,2.0
2024-05-25T00:00:00.000Z,10.8,10.8,10.8,10.8,10.8,0.0,1.0
2024-05-28T00:00:00.000Z,9.6,9.6,9.6,9.6,9.6,0.0,1.0
2024-05-29T00:00:00.000Z,12.0,12.0,12.0,12.0,12.0,0.0,1.0
2024-05-30T00:00:00.000Z,8.4,12.0,10.2,8.4,12.0,1.8,2.0
2024-06-01T00:00:00.000Z,12.0,12.0,12.0,12.0,12.0,0.0,1.0
2024-06-02T00:00:00.000Z,9.6,9.6,9.6,9.6,9.6,0.0,1.0
2024-06-05T00:00:00.000Z,16.8,16.8,16.8,16.8,16.8,0.0,1.0
2024-06-06T00:00:00.000Z,12.0,12.0,12.0,12.0,12.0,0.0,1.0
2024-06-07T00:00:00.000Z,14.4,14.4,14.4,14.4,14.4,0.0,1.0
2024-06-08T00:00:00.000Z,10.8,10.8,10.8,10.8,10.8,0.0,1.0
2024-06-11T00:00:00.000Z,8.4,8.4,8.4,8.4,8.4,0.0,1.0
2024-06-13T00:00:00.000Z,15.6,15.6,15.6,15.6,15.6,0.0,1.0
2024-06-18T00:00:00.000Z,8.4,8.4,8.4,8.4,8.4,0.0,1.0
2024-06-19T00:00:00.000Z,12.0,34.8,23.4,12.0,34.8,11.4,2.0
2024-06-20T00:00:00.000Z,24.0,24.0,24.0,24.0,24.0,0.0,1.0
2024-06-24T00:00:00.000Z,8.4,48.0,28.2,8.4,48.0,19.8,2.0
2024-06-25T00:00:00.000Z,25.2,25.2,25.2,25.2,25.2,0.0,1.0
2024-06-29T00:00:00.000Z,25.2,52.8,39.0,25.2,52.8,13.8,2.0
2024-07-01T00:00:00.000Z,32.4,32.4,32.4,32.4,32.4,0.0,1.0
2024-07-05T00:00:00.000Z,14.4,26.4,20.4,14.4,26.4,6.0,2.0
2024-07-07T00:00:00.000Z,31.2,45.6,38.4,31.2,45.6,7.2,2.0
2024-07-08T00:00:00.000Z,12.0,34.8,21.6,12.0,34.8,9.347,3.0
2024-07-10T00:00:00.000Z,36.0,36.0,36.0,36.0,36.0,0.0,1.0
2024-07-13T00:00:00.000Z,9.6,9.6,9.6,9.6,9.6,0.0,1.0
2024-07-14T00:00:00.000Z,13.2,13.2,13.2,13.2,13.2,0.0,1.0
2024-07-16T00:00:00.000Z,19.2,21.6,20.4,19.2,21.6,1.2,2.0
2024-07-25T00:00:00.000Z,22.8,22.8,22.8,22.8,22.8,0.0,1.0
2024-07-26T00:00:00.000Z,38.4,38.4,38.4,38.4,38.4,0.0,1.0
2024-07-27T00:00:00.000Z,10.8,10.8,10.8,10.8,10.8,0.0,1.0
2024-07-29T00:00:00.000Z,4.8,4.8,4.8,4.8,4.8,0.0,1.0
2024-07-30T00:00:00.000Z,7.2,7.2,7.2,7.2,7.2,0.0,1.0
2024-07-31T00:00:00.000Z,22.8,31.2,27.0,22.8,31.2,4.2,2.0
2024-08-01T00:00:00.000Z,39.6,39.6,39.6,39.6,39.6,0.0,1.0
2024-08-03T00:00:00.000Z,20.4,45.6,31.2,20.4,45.6,10.323,3.0
2024-08-04T00:00:00.000Z,19.2,19.2,19.2,19.2,19.2,0.0,1.0
2024-08-05T00:00:00.000Z,20.4,88.6,32.4,22.8,64.1,27.008,4.0
2024-08-06T00:00:00.000Z,31.2,31.2,31.2,31.2,31.2,0.0,1.0
2024-08-07T00:00:00.000Z,48.0,48.0,48.0,48.0,48.0,0.0,1.0
2024-08-09T00:00:00.000Z,6.0,6.0,6.0,6.0,6.0,0.0,1.0
2024-08-11T00:00:00.000Z,13.2,13.2,13.2,13.2,13.2,0.0,1.0
2024-08-12T00:00:00.000Z,30.0,30.0,30.0,30.0,30.0,0.0,1.0
2024-08-13T00:00:00.000Z,3.6,33.6,31.2,3.6,33.6,13.612,3.0
2024-08-16T00:00:00.000Z,33.6,33.6,33.6,33.6,33.6,0.0,1.0
2024-08-17T00:00:00.000Z,27.6,27.6,27.6,27.6,27.6,0.0,1.0
2024-08-19T00:00:00.000Z,12.0,45.6,27.6,18.0,32.4,8.932,17.0
2024-08-20T00:00:00.000Z,10.8,52.8,31.2,25.2,36.6,9.728,24.0
2024-08-21T00:00:00.000Z,14.4,71.7,25.2,19.8,39.0,14.906,13.0
2024-08-22T00:00:00.000Z,9.6,51.6,30.0,24.0,40.8,10.788,23.0
2024-08-23T00:00:00.000Z,6.0,48.0,27.6,16.2,37.2,12.922,24.0
2024-08-24T00:00:00.000Z,9.6,80.8,32.4,19.2,39.0,16.296,24.0
2024-08-25T00:00:00.000Z,7.2,54.0,24.0,15.6,33.6,11.945,23.0
2024-08-26T00:00:00.000Z,9.6,52.8,34.2,17.4,38.4,12.68,24.0
2024-08-27T00:00:00.000Z,9.6,51.6,29.4,19.2,38.4,11.836,20.0
2024-08-28T00:00:00.000Z,10.8,140.2,30.0,16.2,46.8,30.428,21.0
2024-08-29T00:00:00.000Z,7.2,45.6,25.2,19.2,30.0,8.656,22.0
2024-08-30T00:00:00.000Z,9.6,76.9,26.4,19.2,35.4,17.13,21.0
2024-08-31T00:00:00.000Z,12.0,56.4,21.6,13.2,37.2,12.413,20.0
2024-09-01T00:00:00.000Z,3.6,69.1,25.2,13.2,46.2,16.548,21.0
2024-09-02T00:00:00.000Z,6.0,49.2,18.0,14.4,24.0,8.949,19.0
2024-09-03T00:00:00.000Z,7.2,49.2,19.2,13.2,28.8,11.056,20.0
2024-09-04T00:00:00.000Z,13.2,51.6,22.2,17.4,31.2,10.723,20.0
2024-09-05T00:00:00.000Z,14.4,74.3,33.6,21.6,42.0,13.664,23.0
2024-09-06T00:00:00.000Z,9.6,43.2,21.0,12.6,31.2,10.351,24.0
2024-09-07T00:00:00.000Z,7.2,32.4,12.0,8.4,16.8,7.252,23.0
2024-09-08T00:00:00.000Z,4.8,46.8,18.0,11.4,24.0,9.24,21.0
2024-09-09T00:00:00.000Z,4.8,38.4,15.6,9.6,27.6,10.562,23.0
2024-09-10T00:00:00.000Z,2.4,22.8,9.0,4.2,14.4,5.975,24.0
2024-09-11T00:00:00.000Z,3.6,19.2,7.8,5.4,10.8,4.235,24.0
2024-09-12T00:00:00.000Z,3.6,38.4,10.2,7.2,21.6,10.484,24.0
