date,min,max,median,q1,q3,stdev,count
2024-03-21T00:00:00.000Z,6.51,23.1,14.81,6.51,23.1,8.295,2
2024-03-22T00:00:00.000Z,13.64,13.64,13.64,13.64,13.64,0.0,1
2024-03-23T00:00:00.000Z,17.5,23.5,22.7,17.5,23.5,2.66,3
2024-03-25T00:00:00.000Z,19.9,19.9,19.9,19.9,19.9,0.0,1
2024-03-30T00:00:00.000Z,16.3,16.3,16.3,16.3,16.3,0.0,1
2024-03-31T00:00:00.000Z,24.7,24.7,24.7,24.7,24.7,0.0,1
2024-04-01T00:00:00.000Z,18.3,18.3,18.3,18.3,18.3,0.0,1
2024-04-03T00:00:00.000Z,22.7,22.7,22.7,22.7,22.7,0.0,1
2024-04-04T00:00:00.000Z,27.1,27.1,27.1,27.1,27.1,0.0,1
2024-04-05T00:00:00.000Z,11.16,11.16,11.16,11.16,11.16,0.0,1
2024-04-06T00:00:00.000Z,12.09,17.89,15.0,12.09,17.89,2.905,2
2024-04-11T00:00:00.000Z,17.9,17.9,17.9,17.9,17.9,0.0,1
2024-04-14T00:00:00.000Z,21.5,21.5,21.5,21.5,21.5,0.0,1
2024-04-16T00:00:00.000Z,36.7,36.7,36.7,36.7,36.7,0.0,1
2024-04-17T00:00:00.000Z,43.3,43.3,43.3,43.3,43.3,0.0,1
2024-04-18T00:00:00.000Z,51.7,51.7,51.7,51.7,51.7,0.0,1
2024-04-19T00:00:00.000Z,26.7,26.7,26.7,26.7,26.7,0.0,1
2024-04-22T00:00:00.000Z,11.16,11.16,11.16,11.16,11.16,0.0,1
2024-04-25T00:00:00.000Z,12.71,12.71,12.71,12.71,12.71,0.0,1
2024-04-26T00:00:00.000Z,15.9,15.9,15.9,15.9,15.9,0.0,1
2024-05-04T00:00:00.000Z,13.95,13.95,13.95,13.95,13.95,0.0,1
2024-05-06T00:00:00.000Z,21.5,21.5,21.5,21.5,21.5,0.0,1
2024-05-08T00:00:00.000Z,31.9,31.9,31.9,31.9,31.9,0.0,1
2024-05-10T00:00:00.000Z,11.78,11.78,11.78,11.78,11.78,0.0,1
2024-05-13T00:00:00.000Z,14.88,14.88,14.88,14.88,14.88,0.0,1
2024-05-15T00:00:00.000Z,6.51,18.3,9.92,6.51,18.3,4.954,3
2024-05-18T00:00:00.000Z,11.78,11.78,11.78,11.78,11.78,0.0,1
2024-05-23T00:00:00.000Z,4.34,18.3,11.32,4.34,18.3,6.98,2
2024-05-25T00:00:00.000Z,4.96,4.96,4.96,4.96,4.96,0.0,1
2024-05-28T00:00:00.000Z,22.7,22.7,22.7,22.7,22.7,0.0,1
2024-05-29T00:00:00.000Z,21.9,21.9,21.9,21.9,21.9,0.0,1
2024-05-30T00:00:00.000Z,19.1,22.3,20.7,19.1,22.3,1.6,2
2024-06-01T00:00:00.000Z,8.68,8.68,8.68,8.68,8.68,0.0,1
2024-06-02T00:00:00.000Z,12.09,12.09,12.09,12.09,12.09,0.0,1
2024-06-05T00:00:00.000Z,23.5,23.5,23.5,23.5,23.5,0.0,1
2024-06-06T00:00:00.000Z,6.51,6.51,6.51,6.51,6.51,0.0,1
2024-06-07T00:00:00.000Z,10.85,10.85,10.85,10.85,10.85,0.0,1
2024-06-08T00:00:00.000Z,15.19,15.19,15.19,15.19,15.19,0.0,1
2024-06-11T00:00:00.000Z,19.1,19.1,19.1,19.1,19.1,0.0,1
2024-06-13T00:00:00.000Z,21.9,21.9,21.9,21.9,21.9,0.0,1
2024-06-18T00:00:00.000Z,22.3,22.3,22.3,22.3,22.3,0.0,1
2024-06-19T00:00:00.000Z,10.23,10.23,10.23,10.23,10.23,0.0,2
2024-06-20T00:00:00.000Z,29.5,29.5,29.5,29.5,29.5,0.0,1
2024-06-24T00:00:00.000Z,12.71,13.33,13.02,12.71,13.33,0.31,2
2024-06-25T00:00:00.000Z,7.75,7.75,7.75,7.75,7.75,0.0,1
2024-06-29T00:00:00.000Z,7.44,34.29,20.87,7.44,34.29,13.43,2
2024-07-01T00:00:00.000Z,4.34,4.34,4.34,4.34,4.34,0.0,1
2024-07-05T00:00:00.000Z,6.82,14.26,10.54,6.82,14.26,3.72,2
