date, pm25, pm10
2025/2/3, 28, 16
2025/2/4, 18, 28
2025/2/5, 22, 50
2025/2/6, 60, 49
2025/2/7, 68, 45
2025/2/8, 52, 52
2025/2/9, 48, 46
2025/2/10, 49, 44
2025/2/11, 49, 41
2025/2/12, 56, 10
2025/2/13, 10, 13
2025/2/14, 14, 
2025/1/1, 103, 54
2025/1/2, 85, 39
2025/1/3, 61, 
2025/1/5, 77, 80
2025/1/6, 111, 86
2025/1/7, 107, 70
2025/1/8, 78, 46
2025/1/9, 50, 53
2025/1/10, 61, 
2025/1/12, 70, 62
2025/1/13, 79, 46
2025/1/14, 44, 20
2025/1/15, 22, 49
2025/1/16, 70, 65
2025/1/17, 100, 75
2025/1/18, 115, 64
2025/1/19, 85, 66
2025/1/20, 91, 84
2025/1/21, 113, 91
2025/1/22, 122, 82
2025/1/23, 106, 
2025/1/25, 62, 60
2025/1/26, 97, 
2024/10/16, 15, 46
2024/10/17, 27, 32
2024/10/18, 24, 31
2024/10/19, 19, 32
2024/10/20, 22, 22
2024/10/21, 21, 28
2024/10/22, 26, 47
2024/10/23, 51, 46
2024/10/24, 38, 53
2024/10/25, 48, 37
2024/10/26, 41, 6
2024/10/27, 4, 34
2024/10/28, 26, 27
2024/10/29, 24, 17
2024/10/30, 12, 26
2024/10/31, 31, 63
2024/11/1, 81, 70
2024/11/2, 95, 31
2024/11/3, 42, 22
2024/11/4, 18, 29
2024/11/5, 36, 53
2024/11/6, 58, 57
2024/11/7, 57, 59
2024/11/8, 55, 64
2024/11/9, 79, 59
2024/11/10, 80, 58
2024/11/11, 82, 22
2024/11/12, 25, 39
2024/11/13, 36, 51
2024/11/14, 49, 48
2024/11/15, 50, 63
2024/11/16, 84, 72
2024/11/17, 80, 40
2024/11/18, 36, 35
2024/11/19, 33, 25
2024/11/20, 19, 19
2024/11/21, 16, 26
2024/11/22, 22, 37
2024/11/23, 35, 42
2024/11/24, 40, 47
2024/11/25, 50, 44
2024/11/26, 48, 47
2024/11/27, 38, 56
2024/11/28, 45, 58
2024/11/29, 43, 75
2024/11/30, 77, 68
2024/12/1, 58, 63
2024/12/2, 64, 48
2024/12/3, 44, 53
2024/12/4, 53, 44
2024/12/5, 41, 34
2024/12/6, 30, 52
2024/12/7, 44, 58
2024/12/8, 76, 50
2024/12/9, 54, 42
2024/12/10, 47, 26
2024/12/11, 26, 36
2024/12/12, 38, 35
2024/12/13, 37, 
2024/12/22, 66, 22
2024/12/23, 27, 11
2024/12/24, 12, 26
2024/12/25, 28, 35
2024/12/26, 37, 41
2024/12/27, 21, 
2024/12/29, 38, 
2024/4/24, 26, 
2024/5/12, 9, 
2024/5/15, 5, 
2024/3/18, 37, 30
2024/3/19, 34, 4
