pm25,pm10,date
22.67,12.0,2021-12-28
12.0,24.0,2021-12-29
26.0,25.0,2021-12-30
29.0,28.0,2021-12-31
29.0,25.0,2022-01-01
26.0,29.0,2022-01-02
30.0,38.0,2022-01-03
41.0,28.0,2022-01-04
31.0,26.0,2022-01-05
29.0,33.67,2022-01-06
27.77,28.37,2022-01-07
27.77,28.37,2022-01-08
27.77,28.37,2022-01-09
27.77,28.37,2022-01-10
27.77,28.37,2022-01-11
27.77,28.37,2022-01-12
27.77,28.37,2022-01-13
49.67,38.0,2022-01-14
33.0,47.0,2022-01-15
39.0,35.0,2022-01-16
37.0,15.0,2022-01-17
15.0,11.0,2022-01-18
10.0,26.0,2022-01-19
24.0,28.0,2022-01-20
30.0,43.0,2022-01-21
35.0,38.0,2022-01-22
41.0,47.0,2022-01-23
47.0,32.67,2022-01-24
27.77,28.37,2022-01-25
18.33,25.0,2022-01-26
23.0,33.0,2022-01-27
32.0,21.0,2022-01-28
26.0,11.0,2022-01-29
10.0,8.0,2022-01-30
8.0,6.0,2022-01-31
5.0,6.0,2022-02-01
4.0,5.0,2022-02-02
4.0,3.0,2022-02-03
2.0,3.0,2022-02-04
2.0,14.0,2022-02-05
16.0,23.0,2022-02-06
29.0,26.0,2022-02-07
32.0,19.0,2022-02-08
24.0,16.0,2022-02-09
17.0,20.0,2022-02-10
22.0,17.0,2022-02-11
18.0,18.0,2022-02-12
18.0,7.0,2022-02-13
4.0,11.0,2022-02-14
9.0,17.0,2022-02-15
22.0,25.0,2022-02-16
31.0,21.0,2022-02-17
27.0,23.0,2022-02-18
26.0,5.0,2022-02-19
4.0,6.0,2022-02-20
5.0,6.0,2022-02-21
5.0,6.0,2022-02-22
4.0,10.0,2022-02-23
9.0,7.0,2022-02-24
6.0,13.0,2022-02-25
10.0,16.0,2022-02-26
18.0,24.0,2022-02-27
28.0,23.0,2022-02-28
19.0,17.0,2022-03-01
19.0,26.0,2022-03-02
22.0,26.0,2022-03-03
26.0,17.0,2022-03-04
18.0,21.0,2022-03-05
26.0,13.0,2022-03-06
14.0,29.0,2022-03-07
21.0,32.0,2022-03-08
23.0,27.0,2022-03-09
23.0,36.33,2022-03-10
15.33,19.0,2022-03-11
18.0,23.0,2022-03-12
24.0,26.0,2022-03-13
29.0,33.67,2022-03-14
27.77,28.37,2022-03-15
25.33,29.0,2022-03-16
32.0,37.0,2022-03-17
50.0,30.0,2022-03-18
43.0,29.0,2022-03-19
35.0,34.0,2022-03-20
42.0,23.0,2022-03-21
19.0,22.0,2022-03-22
20.0,19.0,2022-03-23
20.0,29.0,2022-03-24
30.0,35.0,2022-03-25
23.0,31.0,2022-03-26
21.0,21.0,2022-03-27
17.0,18.0,2022-03-28
11.33,20.0,2022-03-29
24.0,13.0,2022-03-30
14.0,6.0,2022-03-31
8.0,3.0,2022-04-01
2.0,6.0,2022-04-02
6.0,20.0,2022-04-03
17.0,18.0,2022-04-04
27.77,28.37,2022-04-05
27.77,28.37,2022-04-06
27.77,28.37,2022-04-07
27.77,28.37,2022-04-08
19.0,27.0,2022-04-09
26.0,25.0,2022-04-10
26.0,20.33,2022-04-11
27.77,28.37,2022-04-12
27.77,28.37,2022-04-13
27.77,28.37,2022-04-14
27.77,28.37,2022-04-15
27.77,28.37,2022-04-16
27.77,28.37,2022-04-17
27.77,28.37,2022-04-18
21.33,10.0,2022-04-19
7.0,16.0,2022-04-20
15.0,19.33,2022-04-21
27.77,28.37,2022-04-22
27.77,28.37,2022-04-23
27.77,28.37,2022-04-24
27.77,28.37,2022-04-25
27.77,28.37,2022-04-26
17.67,18.0,2022-04-27
14.0,19.0,2022-04-28
17.0,9.0,2022-04-29
8.0,9.0,2022-04-30
9.0,4.0,2022-05-01
2.0,6.0,2022-05-02
4.0,19.0,2022-05-03
21.0,29.0,2022-05-04
37.0,17.0,2022-05-05
22.0,15.0,2022-05-06
18.0,17.0,2022-05-07
21.0,22.0,2022-05-08
17.0,23.0,2022-05-09
21.0,28.0,2022-05-10
17.0,29.0,2022-05-11
20.0,25.0,2022-05-12
21.0,22.0,2022-05-13
19.0,19.0,2022-05-14
12.0,17.0,2022-05-15
10.0,10.0,2022-05-16
6.0,12.0,2022-05-17
9.0,20.0,2022-05-18
17.0,16.0,2022-05-19
14.0,13.0,2022-05-20
8.0,14.0,2022-05-21
9.0,19.0,2022-05-22
13.0,31.0,2022-05-23
29.0,31.0,2022-05-24
24.0,32.0,2022-05-25
24.0,26.0,2022-05-26
17.0,25.0,2022-05-27
18.0,21.0,2022-05-28
15.0,25.0,2022-05-29
18.0,26.0,2022-05-30
18.0,27.0,2022-05-31
19.0,22.0,2022-06-01
14.0,21.0,2022-06-02
13.0,17.0,2022-06-03
10.0,18.0,2022-06-04
12.0,31.0,2022-06-05
34.0,20.0,2022-06-06
12.0,16.0,2022-06-07
9.0,24.0,2022-06-08
18.0,21.0,2022-06-09
14.0,27.0,2022-06-10
21.0,20.0,2022-06-11
13.0,22.0,2022-06-12
13.0,26.0,2022-06-13
16.0,25.0,2022-06-14
15.0,25.0,2022-06-15
14.0,25.0,2022-06-16
14.0,24.0,2022-06-17
18.0,22.0,2022-06-18
15.0,22.0,2022-06-19
15.0,20.0,2022-06-20
13.0,29.0,2022-06-21
16.0,23.0,2022-06-22
12.0,27.0,2022-06-23
20.0,21.0,2022-06-24
14.0,21.0,2022-06-25
13.0,23.0,2022-06-26
10.0,24.0,2022-06-27
13.0,21.0,2022-06-28
11.0,24.0,2022-06-29
13.0,17.33,2022-06-30
27.77,28.37,2022-07-01
27.77,28.37,2022-07-02
27.77,28.37,2022-07-03
27.77,28.37,2022-07-04
27.77,28.37,2022-07-05
27.77,28.37,2022-07-06
27.77,28.37,2022-07-07
27.77,28.37,2022-07-08
27.77,28.37,2022-07-09
27.77,28.37,2022-07-10
27.77,28.37,2022-07-11
20.0,13.0,2022-07-12
8.0,20.0,2022-07-13
13.0,9.0,2022-07-14
8.0,21.0,2022-07-15
13.0,21.0,2022-07-16
10.0,23.0,2022-07-17
11.0,25.0,2022-07-18
14.0,36.0,2022-07-19
18.0,21.0,2022-07-20
19.0,17.0,2022-07-21
10.0,16.0,2022-07-22
13.0,17.0,2022-07-23
13.0,14.0,2022-07-24
11.0,21.0,2022-07-25
15.0,22.0,2022-07-26
16.0,32.0,2022-07-27
25.0,22.0,2022-07-28
18.0,25.0,2022-07-29
16.0,24.0,2022-07-30
13.0,26.0,2022-07-31
10.0,12.67,2022-08-01
27.77,28.37,2022-08-02
27.77,28.37,2022-08-03
32.33,15.0,2022-08-04
8.0,22.0,2022-08-05
12.0,19.0,2022-08-06
10.0,12.0,2022-08-07
8.0,19.0,2022-08-08
16.0,21.0,2022-08-09
14.0,20.0,2022-08-10
12.0,19.0,2022-08-11
11.0,24.0,2022-08-12
16.0,21.0,2022-08-13
12.0,21.0,2022-08-14
11.0,21.0,2022-08-15
14.0,19.0,2022-08-16
11.0,20.0,2022-08-17
14.0,19.0,2022-08-18
10.0,31.0,2022-08-19
16.0,20.0,2022-08-20
9.0,22.0,2022-08-21
14.0,19.0,2022-08-22
12.0,22.0,2022-08-23
11.0,26.0,2022-08-24
11.0,17.67,2022-08-25
27.77,28.37,2022-08-26
27.77,28.37,2022-08-27
27.77,28.37,2022-08-28
27.77,28.37,2022-08-29
27.77,28.37,2022-08-30
27.77,28.37,2022-08-31
27.77,28.37,2022-09-01
27.77,28.37,2022-09-02
27.77,28.37,2022-09-03
27.77,28.37,2022-09-04
27.77,28.37,2022-09-05
27.77,28.37,2022-09-06
27.77,28.37,2022-09-07
27.77,28.37,2022-09-08
27.77,28.37,2022-09-09
27.77,28.37,2022-09-10
27.77,28.37,2022-09-11
27.77,28.37,2022-09-12
27.77,28.37,2022-09-13
27.77,28.37,2022-09-14
27.77,28.37,2022-09-15
27.77,28.37,2022-09-16
27.77,28.37,2022-09-17
27.77,28.37,2022-09-18
27.77,28.37,2022-09-19
27.77,28.37,2022-09-20
27.77,28.37,2022-09-21
27.77,28.37,2022-09-22
27.77,28.37,2022-09-23
27.77,28.37,2022-09-24
27.77,28.37,2022-09-25
27.77,28.37,2022-09-26
27.77,28.37,2022-09-27
32.33,15.0,2022-09-28
11.0,19.0,2022-09-29
17.0,6.0,2022-09-30
7.0,11.67,2022-10-01
27.77,28.37,2022-10-02
27.77,28.37,2022-10-03
14.67,11.0,2022-10-04
12.0,14.0,2022-10-05
13.0,19.0,2022-10-06
16.0,12.0,2022-10-07
10.0,9.0,2022-10-08
8.0,17.0,2022-10-09
22.0,15.0,2022-10-10
17.0,23.0,2022-10-11
23.0,33.0,2022-10-12
30.0,12.0,2022-10-13
12.0,17.0,2022-10-14
11.0,22.0,2022-10-15
21.0,40.0,2022-10-16
37.0,49.0,2022-10-17
49.0,8.0,2022-10-18
10.0,6.0,2022-10-19
3.0,17.0,2022-10-20
12.0,16.0,2022-10-21
16.0,33.0,2022-10-22
34.0,29.0,2022-10-23
35.0,17.0,2022-10-24
20.0,32.0,2022-10-25
32.0,25.0,2022-10-26
23.0,24.0,2022-10-27
22.0,27.0,2022-10-28
27.0,36.0,2022-10-29
43.0,26.0,2022-10-30
26.0,29.0,2022-10-31
26.0,30.0,2022-11-01
27.0,43.0,2022-11-02
43.0,40.0,2022-11-03
43.0,28.0,2022-11-04
36.0,17.0,2022-11-05
19.0,23.0,2022-11-06
23.0,22.0,2022-11-07
20.0,19.0,2022-11-08
18.0,19.0,2022-11-09
17.0,19.0,2022-11-10
18.0,19.0,2022-11-11
19.0,14.0,2022-11-12
16.0,15.0,2022-11-13
15.0,23.0,2022-11-14
21.0,26.0,2022-11-15
27.77,28.37,2022-11-16
27.77,28.37,2022-11-17
27.77,28.37,2022-11-18
27.77,28.37,2022-11-19
27.77,28.37,2022-11-20
27.77,28.37,2022-11-21
27.77,28.37,2022-11-22
27.77,28.37,2022-11-23
20.0,13.0,2022-11-24
11.0,22.0,2022-11-25
14.0,13.0,2022-11-26
10.0,19.0,2022-11-27
13.0,23.0,2022-11-28
19.0,31.0,2022-11-29
25.0,13.0,2022-11-30
11.0,11.0,2022-12-01
10.0,8.0,2022-12-02
6.0,14.0,2022-12-03
14.0,17.0,2022-12-04
22.0,12.0,2022-12-05
12.0,18.0,2022-12-06
19.0,17.0,2022-12-07
18.0,12.0,2022-12-08
15.0,16.0,2022-12-09
20.0,22.0,2022-12-10
29.0,28.0,2022-12-11
33.0,44.0,2022-12-12
57.0,43.0,2022-12-13
53.0,41.0,2022-12-14
47.0,33.0,2022-12-15
39.0,8.0,2022-12-16
7.0,11.0,2022-12-17
13.0,21.0,2022-12-18
15.0,18.0,2022-12-19
15.0,6.0,2022-12-20
6.0,35.0,2022-12-21
40.0,43.0,2022-12-22
47.0,39.0,2022-12-23
38.0,33.0,2022-12-24
29.0,30.0,2022-12-25
31.0,23.0,2022-12-26
30.0,37.33,2022-12-27
10.0,16.0,2022-12-28
19.0,16.0,2022-12-29
17.0,24.0,2022-12-30
25.0,21.0,2022-12-31
26.0,12.0,2023-01-01
9.0,11.0,2023-01-02
8.0,15.0,2023-01-03
11.0,15.0,2023-01-04
17.0,21.0,2023-01-05
24.0,17.0,2023-01-06
18.0,21.0,2023-01-07
27.0,13.0,2023-01-08
12.0,12.0,2023-01-09
9.0,14.0,2023-01-10
13.0,19.0,2023-01-11
18.0,35.0,2023-01-12
50.0,38.0,2023-01-13
43.0,41.0,2023-01-14
51.0,18.0,2023-01-15
22.0,9.0,2023-01-16
7.0,11.67,2023-01-17
17.33,22.0,2023-01-18
25.0,15.0,2023-01-19
18.0,17.0,2023-01-20
23.0,32.0,2023-01-21
47.0,26.0,2023-01-22
37.0,15.0,2023-01-23
21.0,5.0,2023-01-24
5.0,22.0,2023-01-25
25.0,18.0,2023-01-26
25.0,5.0,2023-01-27
6.0,23.0,2023-01-28
24.0,42.0,2023-01-29
39.0,42.0,2023-01-30
45.0,41.33,2023-01-31
27.77,28.37,2023-02-01
27.77,28.37,2023-02-02
27.77,28.37,2023-02-03
27.77,28.37,2023-02-04
27.77,28.37,2023-02-05
27.77,28.37,2023-02-06
27.77,28.37,2023-02-07
27.77,28.37,2023-02-08
18.33,17.0,2023-02-09
18.0,23.0,2023-02-10
25.0,24.0,2023-02-11
26.0,27.0,2023-02-12
32.0,28.0,2023-02-13
38.0,10.0,2023-02-14
10.0,32.0,2023-02-15
37.0,30.0,2023-02-16
37.0,28.0,2023-02-17
34.0,27.0,2023-02-18
33.0,22.0,2023-02-19
25.0,38.0,2023-02-20
46.0,32.0,2023-02-21
34.0,29.0,2023-02-22
28.0,28.0,2023-02-23
28.0,44.0,2023-02-24
60.0,38.0,2023-02-25
45.0,28.0,2023-02-26
32.0,17.0,2023-02-27
18.0,28.0,2023-02-28
29.0,30.0,2023-03-01
33.0,40.0,2023-03-02
48.0,40.0,2023-03-03
45.0,47.0,2023-03-04
63.0,44.0,2023-03-05
59.0,32.0,2023-03-06
32.0,31.0,2023-03-07
31.0,27.0,2023-03-08
26.0,42.0,2023-03-09
40.0,32.0,2023-03-10
31.0,29.0,2023-03-11
32.0,33.0,2023-03-12
40.0,32.0,2023-03-13
39.0,30.0,2023-03-14
31.0,19.0,2023-03-15
20.0,20.0,2023-03-16
22.0,21.0,2023-03-17
22.0,15.0,2023-03-18
18.0,19.0,2023-03-19
27.67,28.0,2023-03-20
31.0,38.0,2023-03-21
49.0,42.0,2023-03-22
54.0,37.0,2023-03-23
44.0,33.0,2023-03-24
41.0,28.0,2023-03-25
35.0,15.0,2023-03-26
15.0,11.0,2023-03-27
10.0,18.0,2023-03-28
20.0,22.0,2023-03-29
22.0,23.0,2023-03-30
30.0,37.33,2023-03-31
27.77,28.37,2023-04-01
27.67,28.0,2023-04-02
29.0,31.0,2023-04-03
32.0,38.0,2023-04-04
41.0,37.0,2023-04-05
37.0,23.0,2023-04-06
24.0,9.0,2023-04-07
8.0,15.0,2023-04-08
15.0,36.0,2023-04-09
39.0,42.0,2023-04-10
51.0,36.0,2023-04-11
44.0,27.0,2023-04-12
33.0,34.0,2023-04-13
39.0,37.0,2023-04-14
48.0,24.0,2023-04-15
33.0,39.0,2023-04-16
54.0,42.0,2023-04-17
52.0,50.0,2023-04-18
65.0,52.0,2023-04-19
67.0,55.0,2023-04-20
79.0,48.33,2023-04-21
27.77,28.37,2023-04-22
11.33,20.0,2023-04-23
22.0,16.0,2023-04-24
19.0,22.0,2023-04-25
25.0,20.0,2023-04-26
21.0,26.0,2023-04-27
28.0,28.0,2023-04-28
33.0,19.0,2023-04-29
22.0,22.0,2023-04-30
19.0,21.0,2023-05-01
23.0,21.0,2023-05-02
23.0,25.0,2023-05-03
26.0,30.0,2023-05-04
30.0,34.0,2023-05-05
36.0,38.0,2023-05-06
46.0,19.0,2023-05-07
18.0,20.0,2023-05-08
20.0,18.0,2023-05-09
17.0,24.0,2023-05-10
22.0,10.0,2023-05-11
8.0,11.0,2023-05-12
9.0,12.0,2023-05-13
11.0,14.0,2023-05-14
14.0,22.0,2023-05-15
15.0,33.0,2023-05-16
29.0,39.0,2023-05-17
42.0,44.0,2023-05-18
45.0,38.0,2023-05-19
39.0,27.0,2023-05-20
25.0,29.0,2023-05-21
27.0,28.0,2023-05-22
22.0,27.0,2023-05-23
18.0,24.0,2023-05-24
14.0,22.0,2023-05-25
14.0,18.0,2023-05-26
13.0,9.0,2023-05-27
9.0,11.0,2023-05-28
10.0,15.0,2023-05-29
12.0,21.0,2023-05-30
16.0,22.0,2023-05-31
12.0,18.0,2023-06-01
11.0,28.0,2023-06-02
20.0,25.0,2023-06-03
18.0,23.0,2023-06-04
19.0,21.0,2023-06-05
19.0,13.0,2023-06-06
8.0,18.0,2023-06-07
12.0,24.0,2023-06-08
15.0,22.0,2023-06-09
16.0,24.0,2023-06-10
17.67,18.0,2023-06-11
17.0,14.0,2023-06-12
11.0,13.0,2023-06-13
9.0,14.0,2023-06-14
7.0,17.0,2023-06-15
11.0,16.0,2023-06-16
8.0,11.0,2023-06-17
6.0,14.0,2023-06-18
9.0,17.0,2023-06-19
10.0,16.0,2023-06-20
10.0,19.0,2023-06-21
12.0,20.0,2023-06-22
14.0,19.0,2023-06-23
12.0,20.0,2023-06-24
14.0,25.0,2023-06-25
16.0,39.0,2023-06-26
26.0,36.0,2023-06-27
28.0,40.0,2023-06-28
30.0,38.0,2023-06-29
22.0,35.0,2023-06-30
27.77,28.37,2023-07-01
27.77,28.37,2023-07-02
27.77,28.37,2023-07-03
27.77,28.37,2023-07-04
27.77,28.37,2023-07-05
27.77,28.37,2023-07-06
27.77,28.37,2023-07-07
27.77,28.37,2023-07-08
27.77,28.37,2023-07-09
27.77,28.37,2023-07-10
40.0,47.0,2023-07-11
